,新车销售店名,车架号,推送日期,是否有效客户,其它施工项目,三方返还佣金,赠送装饰,赠送装饰_有值,返佣
0,上元坤灵,LC0FD1C4XR5232257,2024-09-30,有效,,800.0,,False,800.0
1,上元坤灵,LC0FD1C44R5229161,2024-10-12,有效,,800.0,,False,800.0
2,上元坤灵,LC0FD1C44R5233064,2024-10-17,有效,,800.0,,False,800.0
3,上元坤灵,LC0FD1C41R5257919,2024-10-18,有效,,800.0,,False,800.0
4,上元坤灵,LC0FD1C42R5238781,2024-10-19,有效,,800.0,,False,800.0
5,上元坤灵,LC0FD1C44R5232237,2024-10-19,有效,,800.0,,False,800.0
6,上元坤灵,LC0FD1C43R5241835,2024-10-21,有效,,800.0,,False,800.0
7,上元坤灵,LC0FD1C41R5233085,2024-10-21,有效,,800.0,,False,800.0
8,上元坤灵,LC0FD1C45R5285125,2024-10-22,有效,,800.0,,False,800.0
9,上元坤灵,LC0FD1C4XR5181407,2024-10-26,有效,,800.0,,False,800.0
10,上元坤灵,LC0FD1C43R5282269,2024-10-28,有效,,800.0,,False,800.0
11,上元坤灵,LC0FD1C4XR5314800,2024-11-01,有效,车衣,800.0,,False,800.0
12,上元坤灵,LC0FD1C46R5326314,2024-11-01,有效,,800.0,,False,800.0
13,上元坤灵,LC0FD1C48R5290514,2024-11-01,有效,,800.0,,False,800.0
14,上元坤灵,LC0FD1C48R5282039,2024-11-02,有效,,800.0,,False,800.0
15,上元坤灵,LC0FD1C42R5318047,2024-10-28,有效,,800.0,,False,800.0
16,上元坤灵,LC0FD1C47R5271758,2024-11-04,有效,,800.0,,False,800.0
17,上元坤灵,LC0FD1C48R5223007,2024-10-08,有效,,800.0,,False,800.0
18,上元坤灵,LC0FD1C47R5326578,2024-11-05,有效,,800.0,,False,800.0
19,上元坤灵,LC0FD1C4XR5326588,2024-11-07,有效,,800.0,,False,800.0
20,上元坤灵,LC0FD1C48R5326704,2024-11-08,有效,,800.0,,False,800.0
21,上元坤灵,LC0FD1C48R5326606,2024-11-09,有效,,800.0,,False,800.0
22,上元坤灵,LC0FD1C43R5234870,2024-11-09,有效,,800.0,,False,800.0
23,上元坤灵,LC0FD1C40R5331007,2024-11-13,有效,,800.0,,False,800.0
24,上元坤灵,LC0FD1C45R5326532,2024-11-13,有效,软包,800.0,,False,800.0
25,上元坤灵,LC0FD1C40R5336241,2024-11-13,有效,,800.0,,False,800.0
26,上元坤灵,LC0FD1C49R5326517,2024-11-14,有效,,800.0,,False,800.0
27,上元坤灵,LC0FD1C44R5305056,2024-11-16,有效,,800.0,,False,800.0
28,上元坤灵,LC0FD1C44R5326568,2024-11-19,有效,,800.0,,False,800.0
29,上元坤灵,LC0FD1C42R5341067,2024-11-19,有效,,800.0,,False,800.0
30,上元坤灵,LC0FD1C49R5309443,2024-11-20,有效,,800.0,,False,800.0
31,上元坤灵,LC0FD1C43R5309342,2024-11-20,有效,,800.0,,False,800.0
32,上元坤灵,LC0FD1C43R5321460,2024-11-20,有效,车衣,800.0,,False,800.0
