,公司名称,月份,得分,折让系数
0,上元盛世,2025年1月,,
1,上元盛世,2025年2月,,
2,上元盛世,2025年3月,,
3,上元盛世,2025年4月,,
4,上元盛世,2025年5月,,
5,上元盛世,2025年6月,,
6,上元盛世,2025年7月,100.0,1.0
7,上元盛世,2025年8月,100.0,1.0
8,上元盛世,2025年9月,100.0,1.0
9,上元盛世,2025年10月,66.25,0.0
10,上元盛世,2025年11月,81.99,0.82
11,上元盛世,2025年12月,81.89,0.82
12,文景海洋,2025年1月,93.58,1.0
13,文景海洋,2025年2月,92.01,1.0
14,文景海洋,2025年3月,93.67,1.0
15,文景海洋,2025年4月,88.68,0.89
16,文景海洋,2025年5月,90.79,1.0
17,文景海洋,2025年6月,96.91,1.0
18,文景海洋,2025年7月,91.88,1.0
19,文景海洋,2025年8月,90.06,1.0
20,文景海洋,2025年9月,91.01,1.0
21,文景海洋,2025年10月,91.18,1.0
22,文景海洋,2025年11月,83.34,0.83
23,文景海洋,2025年12月,91.44,1.0
24,文景盛世,2025年1月,91.48,1.0
25,文景盛世,2025年2月,83.48,0.83
26,文景盛世,2025年3月,93.19,1.0
27,文景盛世,2025年4月,83.99,0.84
28,文景盛世,2025年5月,93.7,1.0
29,文景盛世,2025年6月,92.63,1.0
30,文景盛世,2025年7月,91.02,1.0
31,文景盛世,2025年8月,90.57,1.0
32,文景盛世,2025年9月,90.89,1.0
33,文景盛世,2025年10月,97.09,1.0
34,文景盛世,2025年11月,92.53,1.0
35,文景盛世,2025年12月,93.06,1.0
36,新港先秦,2025年1月,51.1,0.0
37,新港先秦,2025年2月,87.0,0.9
38,新港先秦,2025年3月,86.38,0.9
39,新港先秦,2025年4月,81.2,0.9
40,新港先秦,2025年5月,61.33,0.0
41,新港先秦,2025年6月,83.3,0.9
42,新港先秦,2025年7月,88.86,0.9
43,新港先秦,2025年8月,79.61,0.7
44,新港先秦,2025年9月,76.43,0.7
45,新港先秦,2025年10月,67.77,0.0
46,新港先秦,2025年11月,79.79,0.7
47,新港先秦,2025年12月,78.47,0.7
48,新港建元,2025年1月,91.05,1.0
49,新港建元,2025年2月,92.81,1.0
50,新港建元,2025年3月,90.83,1.0
51,新港建元,2025年4月,92.82,1.0
52,新港建元,2025年5月,90.08,1.0
53,新港建元,2025年6月,91.1,1.0
54,新港建元,2025年7月,94.02,1.0
55,新港建元,2025年8月,96.81,1.0
56,新港建元,2025年9月,92.49,1.0
57,新港建元,2025年10月,92.94,1.0
58,新港建元,2025年11月,91.7,1.0
59,新港建元,2025年12月,89.34,0.9
60,新港建武,2025年1月,87.58,0.88
61,新港建武,2025年2月,93.32,1.0
