,公司名称,2025年1月得分,2025年2月得分,2025年3月得分,2025年4月得分,2025年5月得分,2025年6月得分,2025年7月得分,2025年8月得分,2025年9月得分,2025年10月得分,2025年11月得分,2025年12月得分,2025年1月折让,2025年2月折让,2025年3月折让,2025年4月折让,2025年5月折让,2025年6月折让,2025年7月折让,2025年8月折让,2025年9月折让,2025年10月折让,2025年11月折让,2025年12月折让
0,新港建元,91.0524295302014,92.8122424242424,90.8318181818182,92.8204129554656,90.0816666666667,91.0956790123457,94.0173333333333,96.8112727272727,92.4879215686275,92.944,91.7030361445783,89.344,26900.0,35000.0,47500.0,49700.0,50800.0,55600.0,31000.0,39000,47900.0,,,
1,洪武盛世,83.6958095238095,69.462780141844,85.4672592592593,80.0194834761322,79.6782424242424,89.0069213483146,94.6263245033113,85.303947368421,75.4951149425287,82.9547586206897,74.3464680851064,81.572,31320.0,0.0,57330.0,55080.0,53550.0,53910.0,34300.0,36540,36330.0,,,
2,新港永初,37.35,59.8666666666667,80.054,27.9213684210526,28.1521789473684,71.4123625730994,80.8542,76.5208666666667,80.4542,95.4826,91.5280545454546,64.7576,0.0,0.0,12330.0,0.0,0.0,5320.0,3600.0,6300,14310.0,,,
3,新港海川,85.7387368421053,60.8615438596491,90.643052631579,63.4762105263158,77.6878295739348,77.9385964912281,90.6045918367347,82.7426470588235,91.625,63.9951228070175,25.346,77.946,5130.0,0.0,8800.0,0.0,7420.0,10430.0,10500.0,14580,17100.0,,,
4,新港先秦,51.1036666666667,86.9980465116279,86.376,81.1953397129187,61.3297724137931,83.2981927710843,88.8645809523809,79.6050571428571,76.4331923664122,67.7694972972973,79.7852841121495,78.4722,0.0,32760.0,41310.0,45360.0,0.0,51480.0,25470.0,33810,36470.0,,,
5,新港治元,77.4359607843137,82.9120821917808,88.764,87.2881709223554,88.8311164086687,88.3835650446872,89.6621,83.6215594594595,83.2621,86.9818444444444,82.5374,93.0374,12740.0,24840.0,31860.0,25110.0,18180.0,22860.0,9900.0,16020,16650.0,,,
6,新港建隆,86.875,86.875,90.625,87.2786377708978,87.9909539473684,85.1462848297214,74.3055555555555,88.5,86.3260869565217,86.0147058823529,95.6607142857143,85.1805555555555,5040.0,10980.0,18700.0,15750.0,12330.0,13500.0,5390.0,16470,9450.0,,,
8,上元盛世,,,,,,,100.0,100.0,100.0,66.2494201438849,81.9888857142857,81.8885194139194,,,,,,,,1500,30800.0,0.0,25092.0,25584.0
9,新港建武,87.5830523364486,93.3218821917808,91.0333333333333,83.282427901078,94.7312,92.2283272283272,94.4375039215686,95.7774859939896,95.8304149321267,95.122972055339,95.5227126213592,95.6198,13992.0,17900.0,20700.0,19339.0,27300.0,27300.0,23400.0,36300,44400.0,23800.0,23100.0,20700.0
10,文景海洋,93.5815398230089,92.0110790744978,93.6709743589744,88.6761503759398,90.7946474358974,96.912037037037,91.8785033838221,90.0563902439024,91.01325,91.1818261738262,83.3430877192983,91.4389405117979,29400.0,29900.0,28400.0,20826.0,36900.0,39000.0,30200.0,46400,50900.0,40500.0,19837.0,32100.0
11,文景盛世,91.478,83.478,93.186,83.9929983022071,93.6975789473684,92.6315789473684,91.021,90.5664545454545,90.8911298701299,97.0908837209302,92.5296842105263,93.056,3300.0,7636.0,11700.0,6804.0,13500.0,15400.0,11600.0,13500,18000.0,13200.0,7200.0,7800.0
12,新港澜阔,78.919,77.3589705515913,66.2717463414634,72.9383015995565,76.1027760283061,72.7948626262626,76.6849215286114,71.4078676767677,83.7085647887324,71.6038807017543,87.9806410958904,67.201701010101,12087.0,15246.0,0.0,12848.0,21432.0,18907.0,8316.0,18531,24444.0,17064.0,8624.0,0.0
13,鑫港鲲鹏,58.386,73.136,61.817320754717,60.6579968102074,77.8829264934488,79.1633101903695,82.0004444444444,78.103619047619,80.737981981982,85.2280655737705,85.939619047619,79.3222832244009,0.0,5037.0,0.0,0.0,13494.0,9243.0,5330.0,13338,16767.0,6885.0,6966.0,10191.0
14,新港澜舰,81.9935897435897,90.1739310735125,84.1184848484849,92.6117777777778,84.6169416082749,87.5305613959145,89.0801346973572,81.6926666666667,86.6446186186186,88.9383030128574,90.2688276972625,80.4203098591549,15990.0,23600.0,22428.0,15600.0,24480.0,33704.0,24564.0,36982,54810.0,35511.0,26900.0,27840.0
15,新茂元大,92.8707301587302,91.3750434782609,95.6913333333333,89.9142444246209,92.2147272727273,81.0989434294519,88.2965614035088,87.847,92.6016296296296,87.8012523364486,95.0145423728814,92.7211549295775,12900.0,16200.0,19600.0,11880.0,21500.0,15066.0,17688.0,34760,38300.0,32208.0,27000.0,19500.0
